_NAME_,_LABEL_, sample_promo_coeffs , test_promo_coeffs , total_promo_coeffs 
Grade_by_step3occ_610_grade_4_s5,  occ_610_grade_4_step_05,-1.2008 ,-1.2447 ,-1.2842 
Grade_by_step3occ_610_grade_4_s6,  occ_610_grade_4_step_06,-1.2189 ,-1.2530 ,-1.3033 
Grade_by_step3occ_610_grade_4_s7,  occ_610_grade_4_step_07,-1.5043 ,-1.3917 ,-1.4243 
Grade_by_step3occ_610_grade_4_s8,  occ_610_grade_4_step_08,-1.5124 ,-1.6155 ,-1.5591 
Grade_by_step3occ_610_grade_4_s9,  occ_610_grade_4_step_09,-1.6537 ,-1.6771 ,-1.6175 
Grade_by_step3occ_610_grade_4_st,  occ_610_grade_4_step_01,-1.1036 ,-1.1649 ,-1.1620 
Grade_by_step3occ_610_grade_5_10,  occ_610_grade_5_step_10,-1.8109 ,-1.8594 ,-1.8437 
Grade_by_step3occ_610_grade_5_11,  occ_610_grade_5_step_11,-1.7892 ,-1.8632 ,-1.8578 
Grade_by_step3occ_610_grade_5_12,  occ_610_grade_5_step_12,-1.9125 ,-1.9119 ,-1.9263 
Grade_by_step3occ_610_grade_5_13,  occ_610_grade_5_step_14, 0.8952 , 0.3006 , 0.5744 
Grade_by_step3occ_610_grade_5_s2,  occ_610_grade_5_step_02,-1.8474 ,-1.8349 ,-1.8706 
Grade_by_step3occ_610_grade_5_s3,  occ_610_grade_5_step_03,-1.8439 ,-1.8748 ,-1.8834 
Grade_by_step3occ_610_grade_5_s4,  occ_610_grade_5_step_04,-1.8098 ,-1.8134 ,-1.8191 
Grade_by_step3occ_610_grade_5_s5,  occ_610_grade_5_step_05,-1.7356 ,-1.7109 ,-1.7888 
Grade_by_step3occ_610_grade_5_s6,  occ_610_grade_5_step_06,-1.5495 ,-1.6335 ,-1.6108 
Grade_by_step3occ_610_grade_5_s7,  occ_610_grade_5_step_07,-1.5673 ,-1.7857 ,-1.7018 
Grade_by_step3occ_610_grade_5_s8,  occ_610_grade_5_step_08,-1.8541 ,-1.9176 ,-1.9074 
Grade_by_step3occ_610_grade_5_s9,  occ_610_grade_5_step_09,-1.7867 ,-1.7785 ,-1.7986 
Grade_by_step3occ_610_grade_5_st,  occ_610_grade_5_step_01,-1.8384 ,-1.8831 ,-1.7931 
Grade_by_step3occ_610_grade_6_s2,  occ_610_grade_6_step_06,, 0.8962 , 1.3193 
Grade_by_step3occ_610_grade_6_st,  occ_610_grade_6_step_01, 1.3252 , 1.5076 , 2.4170 
Grade_by_step3occ_610_grade_99_2,  occ_610_grade_99_step_02, 1.0018 , 0.9117 , 0.9720 
Grade_by_step3occ_610_grade_99_3,  occ_610_grade_99_step_03, 0.2396 , 0.5026 , 0.4107 
Grade_by_step3occ_610_grade_99_4,  occ_610_grade_99_step_04, 0.6185 , 0.4496 , 0.6304 
Grade_by_step3occ_610_grade_99_5,  occ_610_grade_99_step_05, 0.4799 , 0.7414 , 0.6344 
Grade_by_step3occ_610_grade_99_6,  occ_610_grade_99_step_07, 0.1831 , 0.8012 , 0.4831 
Grade_by_step3occ_610_grade_99_7,  occ_610_grade_99_step_X,-1.8232 ,-1.8268 ,-1.8373 
Grade_by_step3occ_610_grade_99_s,  occ_610_grade_99_step_01, 0.1303 , 0.2267 , 0.1801 
Grade_by_step3occ_620_grade_3_10,  occ_620_grade_3_step_10, 2.7287 , 3.5038 , 3.2512 
Grade_by_step3occ_620_grade_3_s2,  occ_620_grade_3_step_02,-1.8677 ,-0.3908 ,-0.6153 
Grade_by_step3occ_620_grade_3_s3,  occ_620_grade_3_step_03, 2.3168 , 2.5189 , 2.1939 
Grade_by_step3occ_620_grade_3_s4,  occ_620_grade_3_step_04, 1.2488 , 1.2731 , 1.3037 
Grade_by_step3occ_620_grade_3_s5,  occ_620_grade_3_step_05, 5.8610 , 8.2574 , 7.0511 
Grade_by_step3occ_620_grade_3_s6,  occ_620_grade_3_step_06, 7.0864 , 7.6028 , 7.1739 
Grade_by_step3occ_620_grade_3_s7,  occ_620_grade_3_step_07, 2.4716 , 3.9367 , 3.2891 
Grade_by_step3occ_620_grade_3_s8,  occ_620_grade_3_step_08, 4.2878 , 4.4067 , 4.8682 
Grade_by_step3occ_620_grade_3_s9,  occ_620_grade_3_step_09, 6.5660 , 5.7339 , 5.6007 
Grade_by_step3occ_620_grade_3_st,  occ_620_grade_3_step_01, 18.5490 , 2.7549 , 8.3945 
Grade_by_step3occ_620_grade_4_10,  occ_620_grade_4_step_10, 0.2051 , 0.1035 , 0.0089 
Grade_by_step3occ_620_grade_4_s2,  occ_620_grade_4_step_02,-2.2199 ,-2.8164 ,-2.6962 
Grade_by_step3occ_620_grade_4_s3,  occ_620_grade_4_step_03, 0.8432 , 1.3420 , 1.1664 
Grade_by_step3occ_620_grade_4_s4,  occ_620_grade_4_step_04, 2.7712 , 2.5094 , 2.7118 
Grade_by_step3occ_620_grade_4_s5,  occ_620_grade_4_step_05, 3.2680 , 3.2670 , 3.2190 
Grade_by_step3occ_620_grade_4_s6,  occ_620_grade_4_step_06, 2.4074 , 2.7409 , 2.4061 
Grade_by_step3occ_620_grade_4_s7,  occ_620_grade_4_step_07, 2.1479 , 1.5622 , 1.7485 
Grade_by_step3occ_620_grade_4_s8,  occ_620_grade_4_step_08, 2.0902 , 2.2701 , 2.1698 
Grade_by_step3occ_620_grade_4_s9,  occ_620_grade_4_step_09, 2.8824 , 3.2937 , 3.4302 
Grade_by_step3occ_620_grade_4_st,  occ_620_grade_4_step_01,-0.4610 , 0.7202 ,-0.4388 
Grade_by_step3occ_620_grade_5_10,  occ_620_grade_5_step_10, 1.9576 , 2.0948 , 2.0053 
Grade_by_step3occ_620_grade_5_s2,  occ_620_grade_5_step_02, 2.8533 , 3.0166 , 2.8793 
Grade_by_step3occ_620_grade_5_s3,  occ_620_grade_5_step_03, 3.1758 , 3.1877 , 3.1625 
Grade_by_step3occ_620_grade_5_s4,  occ_620_grade_5_step_04, 2.9819 , 3.0193 , 2.9905 
Grade_by_step3occ_620_grade_5_s5,  occ_620_grade_5_step_05, 2.6957 , 2.6667 , 2.6930 
Grade_by_step3occ_620_grade_5_s6,  occ_620_grade_5_step_06, 2.3401 , 2.5363 , 2.4483 
Grade_by_step3occ_620_grade_5_s7,  occ_620_grade_5_step_07, 2.7748 , 2.7226 , 2.7067 
Grade_by_step3occ_620_grade_5_s8,  occ_620_grade_5_step_08, 2.4051 , 2.5815 , 2.4720 
Grade_by_step3occ_620_grade_5_s9,  occ_620_grade_5_step_09, 2.2011 , 2.1032 , 2.1079 
Grade_by_step3occ_620_grade_5_st,  occ_620_grade_5_step_01, 1.9848 , 2.1870 , 2.1299 
Grade_by_step3occ_620_grade_6_10,  occ_620_grade_6_step_10,-1.8154 ,-1.7996 ,-1.8240 
Grade_by_step3occ_620_grade_6_s2,  occ_620_grade_6_step_02,-1.6907 ,-1.6401 ,-1.6955 
Grade_by_step3occ_620_grade_6_s3,  occ_620_grade_6_step_03,-1.8173 ,-1.7771 ,-1.8024 
