_NAME_,_LABEL_, sample_ret_coeffs , test_ret_coeffs , total_ret_coeffs 
Grade_by_step2grade_6_step_06,  grade_6_step_06, 9.1354 , 6.4454 , 8.1653 
Grade_by_step2grade_6_step_07,  grade_6_step_07, 9.1914 , 6.3691 , 8.1421 
Grade_by_step2grade_6_step_08,  grade_6_step_08, 9.0473 , 6.2603 , 7.9879 
Grade_by_step2grade_6_step_09,  grade_6_step_09, 8.8916 , 6.0886 , 7.8491 
Grade_by_step2grade_6_step_10,  grade_6_step_10, 8.9169 , 6.0952 , 7.8532 
Grade_by_step2grade_99_step_01,  grade_99_step_01, 2.6536 , 0.0093 , 2.6556 
Grade_by_step2grade_99_step_02,  grade_99_step_02, 1.4947 ,-0.7025 , 1.8510 
Grade_by_step2grade_99_step_03,  grade_99_step_03, 0.4108 ,-2.2175 , 0.3383 
Grade_by_step2grade_99_step_04,  grade_99_step_04, 9.1343 , 7.1566 , 8.4243 
Grade_by_step2grade_99_step_05,  grade_99_step_05, 8.6670 , 5.1336 , 6.9184 
Grade_by_step2grade_99_step_06,  grade_99_step_06, 8.7373 , 5.7623 , 7.6133 
Grade_by_step2grade_99_step_07,  grade_99_step_07, 8.7596 , 5.5308 , 7.4821 
Grade_by_step2grade_99_step_08,  grade_99_step_08, 8.5484 , 5.9259 , 7.5810 
Grade_by_step2grade_99_step_09,  grade_99_step_09, 8.5795 , 5.7434 , 7.4731 
Grade_by_step2grade_99_step_10,  grade_99_step_10, -   , -   , -   
Intercept,Intercept: Retirement_flag=1,-29.9787 ,-27.2511 ,-29.0705 
age_capped,Age , 0.2927 , 0.2937 , 0.2950 
age_cappedtenure_capped,Age X Tenure,-0.0052 ,-0.0052 ,-0.0053 
tenure_capped,Tenure, 0.3713 , 0.3755 , 0.3792 
