soc,119051,311013,311014,352011,352012,352013,352014,352015,352021,353031,372011,372012,395012,395091,395092,395093,395094,399011,399021,411011,412011,412012,412031,434051,435081,436011,436012,436013,436014,452021,452091,452092,452093,512091,512092,512093,516011,516031,519111,519141,519192,519193,519199,537062,537064
113071,7.9377,7.8621,7.9776,7.7957,7.3451,9.4614,7.36,8.7132,7.7043,8.4908,8.6555,7.4522,9.0688,7.0718,7.0946,7.689,8.4891,8.5211,8.6657,5.8906,8.8879,7.8299,7.3997,8.3173,9.0968,8.9219,8.2123,8.5218,8.8863,7.9338,9.7847,8.0068,7.4139,7.4438,7.3275,8.3608,7.7698,7.298,7.3379,7.5003,7.5497,7.1536,7.0522,6.9544,7.5832
119013,7.2046,8.2254,8.5096,7.063,7.5586,10.0603,7.1355,9.3142,7.5812,8.7843,7.787,7.5833,9.1207,6.9118,7.2125,7.1776,7.7909,8.6075,8.5558,7.3456,8.3675,8.9678,7.8125,8.1844,9.4187,8.6135,9.1037,9.6196,9.247,7.5552,8.8957,7.8683,7.0097,7.0861,7.3133,8.2271,7.6977,8.2572,7.0014,7.1141,7.0207,8.3643,7.0801,7.0917,7.925
119071,5.7779,7.6243,7.6783,7.3514,6.8684,9.7777,7.0077,9.3788,7.4831,8.3572,7.4652,6.9112,7.9586,7.425,6.7721,7.701,8.6817,6.599,7.5612,5.2334,8.7479,8.183,7.788,8.4206,9.1228,8.7711,7.9232,9.1335,8.2722,7.3488,9.2464,7.6307,6.6583,7.5451,5.9064,7.9868,8.0018,7.2994,7.3224,7.4668,7.283,7.3818,7.1785,8.1176,7.6897
119081,7.518,8.6596,7.6007,7.8383,7.6655,10.2166,7.5699,9.1136,7.9975,8.2323,8.4834,7.0968,8.6981,8.7604,8.0258,9.0239,8.7357,9.1285,8.3813,6.1659,8.8352,8.7293,8.2258,8.9304,9.5793,8.6528,8.5849,8.8578,8.047,9.6175,10.2069,8.6248,6.3806,8.2006,7.0631,8.9794,9.2168,8.8976,7.1289,8.2807,8.7949,7.6023,6.7928,7.7381,8.189
119131,6.8189,8.3172,7.3393,8.2965,8.5229,9.8308,7.6456,8.6343,7.824,9.4469,7.5634,7.9757,8.707,6.8556,6.3891,7.3882,8.5399,7.5644,8.7149,6.5264,8.9442,9.4747,8.2537,8.3056,9.9839,9.3544,8.457,9.0343,9.8292,8.9894,10.3513,7.9782,7.4947,7.97,8.0745,9.0276,7.7727,7.1958,8.2425,6.8649,8.2178,7.5578,8.1405,7.6143,7.9036
119141,8.446,8.3684,8.6558,8.2486,9.1402,11.0825,7.7253,9.0974,8.835,8.4624,9.0769,8.7857,10.1808,7.197,7.913,7.7817,8.7476,9.6619,9.9629,8.0107,10.1914,7.6234,6.7655,9.3347,9.7571,9.3153,8.7329,10.3871,10.0082,9.3367,10.8602,7.6006,8.5198,9.6166,8.5043,10.1294,9.5386,9.7303,8.0407,7.6927,8.9952,9.5418,8.7272,7.0785,8.7255
131031,8.9816,8.1107,8.2059,7.9007,8.8654,11.0359,8.4803,9.2562,9.1765,9.9869,9.081,9.322,9.7678,8.1764,7.7855,7.9685,8.9225,7.9045,9.1717,8.456,9.8972,8.1043,7.7855,8.6369,10.2892,9.95,8.861,10.715,10.0396,10.0789,11.007,8.8753,8.5904,8.6899,9.9681,9.8726,8.7998,9.2102,8.3125,8.1045,9.1111,8.8564,8.6281,8.2397,9.1871
131032,8.8111,9.0105,7.4035,7.212,8.182,10.4443,8.195,8.965,7.4452,8.6799,7.8033,7.7128,7.8773,7.688,7.47,7.952,8.3774,8.9208,7.5941,7.714,8.4853,7.9191,7.8349,8.6292,9.1013,7.9632,6.4969,8.7022,7.0449,9.1083,9.3868,8.8255,7.6348,9.172,8.4217,8.1064,7.918,7.9961,6.9582,7.6403,7.5092,8.6688,6.9593,6.8787,8.601
132082,8.7448,8.4461,7.3406,6.4835,7.2793,9.6822,7.4555,9.6666,6.9767,7.8159,7.5109,7.2345,8.0234,8.3357,7.969,8.6625,7.8724,8.6903,7.7035,6.1501,8.4348,7.1164,7.2387,7.7332,8.3147,8.7478,8.2135,9.7901,8.8854,8.9654,10.0379,8.2678,7.3009,8.0645,7.4633,7.8933,7.6857,6.8823,6.2563,6.8126,7.8138,7.9863,6.53,7.2981,7.9313
