soc,wage_50_comparison_groups,wage_10,wage_25,wage_50,education,experience,training,english,health_insurance_pct,regular_schedule_pct,full_time_pct,safety_conditions,male_75+_pct,male_pct,employment_2014,employment_2024,growth_2014_2024,growth_2014_2024_pct,growth_replacement_2014_2024
395011,30000,17940,19830,24850,2,None,None,2.7,0.297,0.745,0.762,8,Yes,0.836,59.2,65.1,6,0.101,17
272023,29000,17890,19300,24870,1,None,Moderate-term on-the-job training,3.1,0.724,0.188,0.46,8,Yes,0.758,19.8,20.7,1,0.048,7.6
259041,30000,17920,19920,24900,3,None,None,3.5,0.767,0.997,0.632,8,No,0.155,1234.1,1312.8,78.6,0.064,374.5
419011,30000,19080,21300,24940,1,None,Short-term on-the-job training,3.3,0.638,0.65,0.026,9,No,0.472,93,101.3,8.2,0.089,35.8
399041,30000,17880,20480,24990,1,None,Short-term on-the-job training,3.8,0.854,0.805,0.04,10,No,0.437,103.7,117.9,14.1,0.136,45.7
271023,29000,18310,20590,25010,1,None,Moderate-term on-the-job training,3.4,0.779,0.749,0.845,8,No,0.52,58.7,56.7,-2,-0.034,14
373011,29400,18460,20820,25030,0,None,Short-term on-the-job training,3.4,0.403,0.463,0.822,12,Yes,0.965,1167.8,1239.6,71.7,0.061,282.3
339091,26800,17890,19680,25100,0,None,Short-term on-the-job training,2.1,0.713,0.442,-0.566,10,No,0.626,69.8,74.2,4.5,0.064,17
312022,35000,18720,21280,25120,1,None,Short-term on-the-job training,3.5,0.815,0.951,0.651,11,No,0.326,50,69.5,19.5,0.39,34
516042,37000,17680,20210,25190,1,None,Short-term on-the-job training,2.9,0.367,0.458,0.814,9,No,0.63,3.5,2.5,-1.1,-0.305,0.4
516062,29000,18630,20730,25490,1,None,Moderate-term on-the-job training,3.3,0.611,0.852,0.945,9,No,0.742,14.3,10.6,-3.7,-0.257,2.3
513023,30000,19110,21600,25650,0,None,Short-term on-the-job training,2.4,0.695,0.762,0.864,11,Yes,0.781,86.4,85.9,-0.5,-0.006,17.1
516052,30000,18520,20990,25830,0,None,Moderate-term on-the-job training,3,0.44,0.565,0.746,9,No,0.364,40.5,37,-3.4,-0.085,13.5
433041,35400,19070,21480,25860,1,None,Short-term on-the-job training,3.5,0.719,0.851,0.907,8,No,0.255,11.3,11.9,0.6,0.05,2.7
536061,30000,18110,19680,25930,1,None,Short-term on-the-job training,3.5,0.698,0.741,0.649,11,No,0.68,16.5,17.6,1,0.064,4.1
454011,30000,18870,19600,26190,1,None,Moderate-term on-the-job training,3.8,0.742,0.246,0.923,12,Yes,0.894,14,14.6,0.6,0.042,3.9
