soc,median_income,education,english_importance
513021,30000,0,2
513022,30000,0,2.5
513023,30000,0,2.4
513091,25000,0,2
513092,28000,1,2.9
513093,25000,1,3.5
513099,28900,0,
514011,30000,1,3.3
514012,30000,1,3.2
514021,36000,1,3.5
514022,30000,1,2
514023,30000,1,2.9
514031,29900,1,2.8
514032,29900,1,2.8
514033,29900,1,2.6
514034,29900,1,2.1
514035,29900,1,2.2
514041,30000,1,3.3
514051,29000,1,1.9
514052,29000,1,2.1
514061,29000,1,2.9
514062,29000,1,2.2
514071,29000,1,2.2
514081,29000,1,2.7
514111,35000,1,3.3
514121,30000,1,3
514122,30000,1,2.5
514191,30000,1,2.3
514192,30000,1,2.9
514193,30000,1,2.5
514194,30000,1,2.3
515111,29200,2,4
515112,28000,1,2.9
515113,30000,1,2.9
516021,26100,0,2.7
516041,37000,1,2.8
516042,37000,1,2.9
516051,30000,0,2.9
516052,30000,0,3
516061,29000,1,2.8
516062,29000,1,3.3
516063,33000,1,2.8
516064,28000,1,2.3
516091,27000,1,2.8
516092,27000,1,2.5
516093,29000,1,3.1
517011,32000,1,2.2
517021,26000,1,1.9
517031,28000,1,2
517032,28000,1,2.3
517041,35000,1,2.2
517042,30000,1,2.3
518011,35000,1,2.9
518012,35000,1,3.6
518013,35000,1,2.8
518021,33000,1,3.3
518031,29000,1,3.5
518091,30000,1,3.5
518092,30000,1,2.9
518093,30000,1,2.4
518099,30000,1,2.9
519011,32000,1,3.7
519012,32000,1,3.1
519021,29100,1,2.7
519022,29100,0,3.1
519023,29100,1,3.2
519031,28000,0,1.9
519032,28000,1,2.5
519041,28000,1,2.7
519051,28800,1,2.8
519061,30000,1,3.1
519071,25000,1,2.7
519081,32000,1,3.6
519082,32000,1,3.5
519083,32000,1,3
519121,28000,1,2.5
519122,28000,1,3.2
519123,28000,0,2.1
519151,28700,1,3.1
519191,25000,1,3.4
519194,31000,1,3.9
519195,32000,1,3.2
519196,26000,1,3.8
519197,26000,1,2.5
519198,25500,0,2.7
531011,30000,1,3.7
531021,30000,1,3.2
531031,30000,1,4
532012,30000,1,3.7
532022,30000,1,3.6
532031,25000,1,4.1
533011,28100,1,3.5
533021,33000,1,3.4
533022,33000,1,3.4
533031,30000,1,3
533032,30000,2,3.5
533033,30000,1,3
533041,30000,0,3.1
533099,31200,0,
534011,30000,1,3.3
534012,30000,1,3.5
534013,30000,1,3.7
534021,30000,1,2.9
534031,30000,1,3.5
535011,25000,0,2.9
535021,32000,2,3.1
535022,32000,2,3.1
535031,25000,2,3.1
536011,30000,1,3.3
536021,31000,0,3.1
536031,30000,0,2.8
536051,31200,1,4
536061,30000,1,3.5
537011,25700,0,4
537021,30000,1,2.9
537031,30000,1,3.4
537032,30000,1,2.7
537033,30000,0,3.1
537041,25700,0,2.6
537051,30000,0,3.5
537061,30000,0,2.8
537063,37000,0,2.9
537071,32000,1,2.7
537072,32000,1,3.1
537073,32000,1,2.9
537081,30000,0,2.8
537111,30000,0,2
537121,30000,0,2
