"q","1","2","3","4","5","mean","sd","n","coeff"
"q1",59,116,177,275,139,3.41644908616188,1.17164358134977,766,
"q10",68,95,116,375,106,3.46842105263158,1.14739902076966,760,
"q11",81,88,131,280,163,3.47913862718708,1.2575521985069,743,0.0353783710341627
"q12",10,21,60,380,283,4.20026525198939,0.804007184289985,754,
"q13",8,7,47,302,387,4.40213049267643,0.741670718681112,751,
"q14",70,108,103,297,182,3.54342105263158,1.25138505887041,760,
"q15",39,57,136,330,190,3.76462765957447,1.07218748965636,752,
"q16",15,19,95,371,258,4.10554089709763,0.856675340880454,758,
"q17",81,63,134,256,207,3.60053981106613,1.27542244409958,741,
"q18",67,133,207,227,118,3.26063829787234,1.18181679498424,752,
"q19",44,96,121,291,184,3.64538043478261,1.16200875421332,736,
"q2",18,62,110,390,179,3.85638998682477,0.949480144226066,759,
"q20",24,65,132,341,200,3.8241469816273,1.01528120269675,762,
"q21",77,158,222,230,60,3.05087014725569,1.1189729434902,747,
"q22",147,144,233,134,61,2.74687065368567,1.21729096629224,719,
"q23",131,143,223,177,43,2.80195258019526,1.17461349068399,717,
"q24",106,146,223,200,56,2.93707250341997,1.16519463666436,731,
"q25",123,114,187,244,68,3.02717391304348,1.23522920384827,736,
"q26",41,51,137,372,157,3.72955145118733,1.0354088066812,758,
"q27",47,83,230,261,126,3.44979919678715,1.08910487255865,747,
"q28",8,10,94,291,355,4.28627968337731,0.811799791733662,758,
"q29",23,71,144,393,119,3.68533333333333,0.952642776649302,750,
"q3",63,105,145,263,175,3.508655126498,1.22512243833165,751,
"q30",75,119,201,268,77,3.20675675675676,1.14175648471436,740,
"q31",76,118,191,274,83,3.22911051212938,1.15531466461536,742,
"q32",85,153,248,181,62,2.97530864197531,1.12511022387721,729,
"q33",200,170,227,79,25,2.37089871611983,1.11583814354236,701,
"q34",73,52,196,291,103,3.41818181818182,1.13633868065289,715,
"q35",23,37,114,408,165,3.8768406961178,0.913606810878269,747,
"q36",13,29,88,417,194,4.01214574898785,0.834145207609068,741,
"q37",83,75,163,263,137,3.41054091539528,1.23405378115459,721,
"q38",50,44,135,279,187,3.73237410071942,1.1376587406948,695,
"q39",15,23,98,396,213,4.03221476510067,0.849752371928966,745,
"q4",34,66,111,333,219,3.8348623853211,1.07414903177104,763,0.086978329232169
"q40",36,86,183,281,162,3.5975935828877,1.09267713953267,748,0.207321146380579
"q41",108,134,223,128,91,2.94152046783626,1.24323105393181,684,
"q42",23,34,92,315,280,4.06854838709677,0.978575359315834,744,
"q43",50,77,147,265,204,3.66756393001346,1.17641254814845,743,
"q44",50,61,192,234,192,3.62688614540466,1.1581727221477,729,
"q45",33,27,169,266,203,3.82951289398281,1.04195492401474,698,
"q46",51,84,181,242,182,3.56756756756757,1.17461975053688,740,0.142648132646031
"q47",53,63,169,268,175,3.61675824175824,1.15275851767382,728,
"q48",26,44,108,309,256,3.97577388963661,1.02104798576583,743,
"q49",18,35,81,305,303,4.13207547169811,0.953052205871666,742,
"q5",10,23,63,331,330,4.25231175693527,0.834767380728146,757,0.0830201186710175
"q50",32,92,108,311,202,3.7503355704698,1.11174232148985,745,
"q51",50,54,143,242,253,3.80053908355795,1.18040672349973,742,
"q52",26,51,134,234,296,3.97570850202429,1.08276594825377,741,0.013117154844255
"q53",93,137,187,226,93,3.12092391304348,1.22126162698655,736,
"q54",73,65,182,257,143,3.46111111111111,1.19858000772792,720,
"q55",39,50,155,315,150,3.68688293370945,1.05397285211683,709,
"q56",58,66,156,329,122,3.53488372093023,1.11395904176708,731,
"q57",35,54,173,334,113,3.61495063469676,1.00273744195733,709,
"q58",67,97,183,281,96,3.33425414364641,1.14574834800394,724,
"q59",57,80,183,290,112,3.44321329639889,1.11984478884926,722,
"q6",13,37,59,372,267,4.12700534759358,0.880348060030051,748,
"q60",46,66,180,234,177,3.61166429587482,1.15036495681408,703,
"q61",62,87,176,236,172,3.50341064120055,1.21085790918068,733,
"q62",45,62,157,263,159,3.62536443148688,1.12873461796772,686,
"q63",42,134,166,281,116,3.39918809201624,1.12211056997077,739,0.13687646467326
"q64",56,155,157,271,101,3.27837837837838,1.1613149038447,740,
"q65",88,131,183,229,105,3.17934782608696,1.22797664836121,736,
"q66",60,132,209,234,104,3.25710419485792,1.1483169037121,739,
"q67",168,162,215,130,64,2.67523680649526,1.24398652906577,739,0.0768368933525929
"q68",68,112,222,230,107,3.26522327469553,1.15822511523474,739,0.0243828332805662
"q69",28,84,141,325,154,3.67349726775956,1.04937336978445,732,
"q7",6,6,32,238,480,4.54855643044619,0.688466474728117,762,
"q70",103,170,130,254,81,3.05420054200542,1.25339808314983,738,
"q71",47,106,190,285,110,3.41327913279133,1.10072744202477,738,
"q8",5,6,57,293,403,4.41753926701571,0.720241853421956,764,
"q9",97,153,129,285,97,3.17345597897503,1.25189530563993,761,
