"q","1","2","3","4","5","mean","sd","n","coeff"
"q1",27,73,97,260,129,3.66723549488055,1.09084059291366,586,
"q10",47,113,83,290,52,3.31965811965812,1.12507528790994,585,
"q11",40,82,92,267,88,3.49384885764499,1.12762094617053,569,
"q12",8,16,46,323,191,4.15239726027397,0.785193865383606,584,
"q13",8,12,50,260,247,4.25823223570191,0.810653239763841,577,
"q14",60,90,89,242,101,3.4020618556701,1.23204315547753,582,
"q15",25,30,85,292,143,3.86608695652174,0.990097921856427,575,
"q16",7,15,65,323,173,4.09777015437393,0.781472639699636,583,
"q17",42,40,107,219,156,3.72163120567376,1.15978813776274,564,
"q18",44,111,128,223,76,3.30240549828179,1.14430162867487,582,
"q19",29,67,81,237,155,3.74165202108963,1.13135750372405,569,
"q2",17,63,81,307,117,3.75897435897436,0.987087337580948,585,
"q20",15,39,72,281,178,3.97094017094017,0.962041549691157,585,
"q21",46,98,135,222,61,3.27402135231317,1.12165582316481,562,
"q22",75,96,163,156,54,3.03308823529412,1.18880940158848,544,
"q23",91,116,144,153,35,2.860853432282,1.19054828472218,539,
"q24",70,111,155,176,39,3.005444646098,1.14652333446635,551,
"q25",69,86,131,202,58,3.17216117216117,1.1961841853028,546,
"q26",24,44,78,291,148,3.84615384615385,1.01710865227733,585,
"q27",26,42,174,236,82,3.54642857142857,0.985396823658706,560,
"q28",3,7,44,256,276,4.35665529010239,0.716662545448616,586,
"q29",13,45,75,346,86,3.79115044247788,0.876562184210524,565,
"q3",38,62,108,242,128,3.62283737024221,1.1353608567612,578,0.0562973932771245
"q30",37,107,144,227,46,3.24598930481283,1.0623873687662,561,0.0374666633116016
"q31",36,80,137,242,57,3.3695652173913,1.05957623934818,552,
"q32",53,95,183,169,44,3.10294117647059,1.09092632519058,544,
"q33",100,137,150,117,25,2.67863894139887,1.1508960771393,529,
"q34",27,29,144,241,93,3.64419475655431,0.995672629187321,534,
"q35",18,41,85,304,119,3.82010582010582,0.950776875627269,567,
"q36",14,46,75,296,128,3.85509838998211,0.947797833944381,559,
"q37",64,67,126,194,93,3.34007352941176,1.2334252096525,544,
"q38",23,31,100,245,141,3.83333333333333,1.01656046364804,540,
"q39",7,25,75,331,128,3.96819787985866,0.804222883117616,566,
"q4",21,57,87,254,167,3.83447098976109,1.05809350079373,586,
"q40",24,51,135,247,108,3.64424778761062,1.02408392319909,565,0.284056198260378
"q41",86,89,157,135,55,2.96934865900383,1.22944487460833,522,0.00391719480206829
"q42",13,17,51,231,254,4.22968197879859,0.902446373035891,566,
"q43",27,40,89,219,188,3.8898756660746,1.09444756153075,563,
"q44",29,49,104,208,165,3.77657657657658,1.12270262456488,555,
"q45",14,13,119,203,184,3.99437148217636,0.950843624674269,533,
"q46",32,49,109,207,163,3.75,1.13569503830728,560,
"q47",21,31,97,250,159,3.88709677419355,1.00437740013036,558,
"q48",13,36,54,222,242,4.1358024691358,0.982661714792163,567,
"q49",11,32,48,212,259,4.20284697508897,0.954280575526318,562,
"q5",7,32,64,277,200,4.08793103448276,0.8820954769574,580,
"q50",22,45,67,235,196,3.95221238938053,1.06500568915445,565,
"q51",34,40,91,180,214,3.89445438282648,1.17070943827457,559,
"q52",22,27,87,176,253,4.08141592920354,1.06712218824248,565,
"q53",64,107,128,183,73,3.16936936936937,1.21815336309825,555,
"q54",56,55,136,196,101,3.42463235294118,1.19922467776239,544,
"q55",24,37,121,252,100,3.687265917603,0.999787414776839,534,
"q56",29,54,103,273,93,3.6286231884058,1.04079035445644,552,
"q57",25,48,112,253,93,3.64218455743879,1.02240473645204,531,
"q58",36,78,125,231,80,3.43818181818182,1.10257042104641,550,
"q59",32,68,117,232,93,3.52767527675277,1.09534797756555,542,
"q6",11,36,66,287,184,4.0222602739726,0.919309361583812,584,
"q60",40,32,122,184,151,3.7069943289225,1.16416191159442,529,
"q61",46,62,120,184,143,3.56936936936937,1.21815336309825,555,0.0935018366374707
"q62",31,53,120,215,117,3.62313432835821,1.10383624541348,536,
"q63",36,93,128,209,89,3.4,1.13462091508073,555,0.0161667304124938
"q64",39,92,122,231,71,3.36576576576577,1.11500234701276,555,
"q65",49,88,139,194,82,3.31159420289855,1.16855798419872,552,
"q66",43,108,153,190,60,3.20938628158845,1.11354572026996,554,0.155377511622636
"q67",75,108,161,157,55,3.01618705035971,1.18918119801226,556,0.0416517875809844
"q68",45,78,128,225,79,3.38738738738739,1.13661708441829,555,
"q69",25,67,82,277,103,3.66064981949458,1.05388471603518,554,0.229684832125408
"q7",3,2,8,186,385,4.62328767123288,0.587349904437084,584,
"q70",24,88,87,251,105,3.58558558558559,1.09535010367067,555,
"q71",36,71,107,258,79,3.49546279491833,1.09023655230271,551,
"q8",2,4,34,256,289,4.41196581196581,0.664300331428509,585,
"q9",82,157,78,214,55,3.00511945392491,1.25336104827392,586,
