"q","1","2","3","4","5","mean","sd","n","coeff"
"q1",135,382,518,1624,831,3.75472779369627,1.0548237735728,3490,0.00788498441040445
"q10",293,635,677,1543,305,3.2699102229945,1.11848003448185,3453,
"q11",244,431,577,1557,571,3.52662721893491,1.12947063767326,3380,0.0592850802882448
"q12",86,166,352,1820,1018,4.02208018593841,0.903080379592452,3442,
"q13",30,59,270,1536,1533,4.30775962660443,0.760935948252135,3428,
"q14",149,332,441,1670,877,3.80541942923033,1.05441048140738,3469,
"q15",172,312,583,1600,779,3.72605919907139,1.06390848880282,3446,0.0323779644509806
"q16",60,110,384,1947,952,4.04865334491746,0.817647587687848,3453,
"q17",240,266,579,1316,829,3.68978328173375,1.15682134735608,3230,
"q18",240,530,832,1364,483,3.38271962887794,1.114241557655,3449,
"q19",174,337,512,1617,807,3.73861328691616,1.07705055162059,3447,
"q2",69,269,475,1970,687,3.8463976945245,0.894738144929132,3470,
"q20",88,206,425,1781,984,3.96641791044776,0.931330275761618,3484,
"q21",372,820,907,1067,217,2.98137747561336,1.1199268663506,3383,
"q22",398,528,877,1190,314,3.14938010281222,1.16567751203848,3307,
"q23",488,714,940,846,145,2.82317267794446,1.12926326636906,3133,
"q24",379,702,1004,972,201,2.97360343769184,1.10706136326448,3258,
"q25",377,512,772,1201,326,3.18412797992472,1.1772496807076,3188,
"q26",126,214,426,1837,855,3.89097744360902,0.966595451979406,3458,
"q27",162,312,962,1392,534,3.54253420582986,1.02023817285781,3362,
"q28",20,39,313,1382,1726,4.36637931034483,0.740537001171162,3480,
"q29",66,263,534,1956,529,3.78225806451613,0.872900807565384,3348,
"q3",166,347,552,1409,966,3.77383720930233,1.10827668787004,3440,
"q30",225,521,840,1396,346,3.33563701923077,1.07238661856121,3328,
"q31",198,444,679,1547,492,3.50327380952381,1.07751989226106,3360,
"q32",258,505,913,1264,388,3.30618990384615,1.10209141945586,3328,0.010673800445795
"q33",472,725,961,821,180,2.84552073440962,1.13644977314788,3159,
"q34",177,294,968,1294,395,3.45907928388747,1.01425120948305,3128,
"q35",62,125,371,1967,855,4.01420118343195,0.822032781471236,3380,
"q36",74,223,634,1859,521,3.7641196013289,0.874060118197211,3311,
"q37",259,333,662,1329,614,3.53362527369409,1.15230020857205,3197,
"q38",126,130,485,1554,797,3.89456662354463,0.968883183291436,3092,
"q39",37,102,421,1959,839,4.03067301965456,0.771444621076986,3358,
"q4",120,193,447,1510,1199,4.00172960507351,1.0043144560519,3469,0.129985101231138
"q40",85,216,610,1473,1046,3.9268221574344,0.976037238542908,3430,0.294461388601389
"q41",359,564,999,902,295,3.06732927220263,1.14220745126191,3119,
"q42",91,131,259,1408,1524,4.21388807500732,0.932961241409968,3413,
"q43",176,297,546,1309,1075,3.82574199235968,1.12290892624207,3403,
"q44",216,340,605,1291,908,3.69494047619048,1.15800204540083,3360,0.00330644766082193
"q45",112,123,778,1195,833,3.82670174284775,0.996650940994118,3041,
"q46",197,344,738,1344,776,3.63489261547514,1.1130746508131,3399,
"q47",180,274,547,1474,876,3.77350044762757,1.08821184830475,3351,0.0185964485134564
"q48",98,218,371,1423,1315,4.06248175182482,1.00038382019463,3425,
"q49",99,151,296,1350,1521,4.1832016388645,0.967461818088276,3417,0.0180007048250548
"q5",22,95,276,1527,1521,4.28741644870677,0.779599094240745,3441,0.0846314109331148
"q50",86,214,235,1587,1292,4.10867018160515,0.955604524177714,3414,
"q51",206,291,518,1182,1225,3.85593220338983,1.17087007678307,3422,
"q52",124,223,583,1126,1369,3.99065693430657,1.07538585526489,3425,
"q53",404,683,1008,946,250,2.98632634457612,1.13581976147138,3291,
"q54",246,250,817,1272,462,3.47719067935674,1.09618881823271,3047,
"q55",132,194,762,1473,444,3.63327787021631,0.959546645369539,3005,
"q56",220,426,854,1475,350,3.39368421052632,1.05013714198377,3325,
"q57",166,296,859,1368,350,3.47384007897335,1.00126159495248,3039,
"q58",310,561,834,1213,338,3.21744471744472,1.13755189480707,3256,
"q59",246,405,771,1421,423,3.41947336191059,1.09674745281095,3266,
"q6",80,202,415,1719,1034,3.99275362318841,0.929029716189567,3450,0.0178407003228136
"q60",219,329,835,1170,609,3.51265022137887,1.12209327691409,3162,0.028482675626499
"q61",245,475,959,1171,466,3.34318455971049,1.1120424011591,3316,
"q62",122,206,789,1225,508,3.62842105263158,0.995866834874716,2850,
"q63",165,570,766,1384,510,3.44300441826215,1.08394309470903,3395,0.084218918581446
"q64",204,643,916,1279,335,3.26591649392952,1.06639854721773,3377,
"q65",226,570,822,1303,459,3.35473372781065,1.11324909410819,3380,0.0544410615174636
"q66",243,607,1195,1090,246,3.14463176574978,1.02948758819379,3381,
"q67",409,601,1111,934,326,3.04939367051168,1.14957559148575,3381,0.059464546199166
"q68",180,460,920,1385,433,3.42362344582593,1.04542870974313,3378,0.0367718340267534
"q69",111,321,525,1654,768,3.7833678603137,1.00581866566642,3379,
"q7",8,18,71,1152,2223,4.60253456221198,0.582442055869065,3472,
"q70",232,495,571,1508,580,3.50472533963379,1.13860994764242,3386,
"q71",125,357,692,1630,587,3.64789147744028,1.00317819791598,3391,
"q8",7,18,266,1564,1630,4.37503586800574,0.665025080998607,3485,
"q9",399,849,647,1226,358,3.08479448117275,1.20831716463158,3479,
