"q","1","2","3","4","5","mean","sd","n","coeff"
"q1",1529,1740,1196,1888,643,2.76786735277301,1.30644285565144,6996,
"q10",1109,1164,1188,2949,542,3.09364211737629,1.23815283392849,6952,
"q11",1891,1315,1070,1940,679,2.73908629441624,1.37666829159984,6895,
"q12",1254,835,990,2626,1184,3.23965742488024,1.36411862647953,6889,
"q13",702,401,747,2444,2593,3.84579642805285,1.26953145231686,6887,
"q14",802,781,923,2967,1450,3.50296114401271,1.26087808135894,6923,
"q15",903,606,1004,2833,1564,3.51360347322721,1.28926792885524,6910,
"q16",627,542,1129,3109,1517,3.62781629116118,1.17129484617954,6924,
"q17",1593,855,1220,1849,1117,3.00633102200784,1.42894071464477,6634,
"q18",1718,1561,1544,1525,492,2.63625730994152,1.26944637753803,6840,
"q19",762,650,943,2806,1717,3.59116022099448,1.26290589464941,6878,
"q2",964,1453,1241,2649,685,3.0912471395881,1.23366362968794,6992,
"q20",597,938,902,2985,1573,3.57169406719085,1.21453377174712,6995,
"q21",1735,1681,1636,1372,331,2.53856402664693,1.2093985950302,6755,
"q22",2763,1302,1383,922,325,2.21493651979089,1.24942211607773,6695,
"q23",2778,1450,1291,867,244,2.14766214177979,1.20267958752719,6630,
"q24",2459,1494,1403,1093,304,2.30238412557382,1.23824637693188,6753,
"q25",2345,1231,1273,1362,425,2.44107896323086,1.3222324682213,6636,
"q26",805,640,1017,3247,1228,3.49776560472827,1.218620867046,6937,
"q27",1147,953,2051,1870,750,3.0181657066903,1.23995316167299,6771,
"q28",239,328,1344,2767,2292,3.9390243902439,1.00744006314159,6970,
"q29",840,1051,1353,2898,599,3.20249221183801,1.18275179130199,6741,
"q3",1902,1642,1130,1501,805,2.66547277936963,1.37475024447333,6980,
"q30",2128,1867,1308,1134,303,2.34970326409496,1.21050144845796,6740,0.0409952582412558
"q31",1982,1659,1286,1408,391,2.48959262563188,1.26765723580103,6726,
"q32",2184,1692,1461,994,321,2.33493686109441,1.2116162485567,6652,0.000388475957690126
"q33",3124,1635,1272,391,131,1.89668853960018,1.03870885128289,6553,
"q34",1232,643,2033,1516,582,2.92890442890443,1.2501218719035,6006,
"q35",812,673,1297,3113,818,3.36526143304037,1.18407055867876,6713,
"q36",1073,995,1408,2630,612,3.10613277761238,1.23767271707315,6718,
"q37",2249,1089,1347,1307,483,2.48818532818533,1.34018049042923,6475,
"q38",1240,534,1411,2004,856,3.11612903225806,1.3392509920158,6045,
"q39",1750,963,1330,2071,554,2.80743851229754,1.34176102243896,6668,0.116248346051296
"q4",1570,1112,1026,2094,1177,3.02808425275827,1.425944723948,6979,
"q40",1755,1412,1455,1601,608,2.69184599619382,1.31531890047787,6831,0.225160120833751
"q41",2765,1256,1087,860,414,2.20119084926355,1.29853937387057,6382,0.0256472192929027
"q42",658,376,728,2775,2246,3.8219077104526,1.22545885785742,6783,
"q43",997,797,1210,2255,1532,3.37225739949934,1.34191152945399,6791,
"q44",1029,796,1274,2178,1445,3.32936626004165,1.34402207682566,6722,
"q45",738,345,1643,1956,1392,3.48057293381627,1.24532437619338,6074,
"q46",1012,863,1290,2230,1367,3.30715764566696,1.33063933163917,6762,
"q47",1156,832,1323,2106,1271,3.22488038277512,1.35666992967588,6688,
"q48",599,632,883,2643,2045,3.7208174066451,1.23164854237099,6802,
"q49",472,448,684,2723,2464,3.9216610219408,1.16061557886141,6791,
"q5",659,516,984,2686,2128,3.73253979635738,1.23350776705676,6973,
"q50",465,624,776,2986,1932,3.78077546808197,1.1559988755747,6783,
"q51",926,774,1138,1984,1967,3.48490204742967,1.36964000340626,6789,
"q52",634,616,1327,1877,2335,3.68684636912653,1.28257411993366,6789,
"q53",3044,1467,1010,810,340,2.0908409533803,1.24260634236137,6671,0.047681909822174
"q54",2340,928,1372,1205,492,2.46047025406344,1.35402667100612,6337,
"q55",1199,563,1598,2165,681,3.09120206252014,1.28189397250582,6206,
"q56",1830,1164,1290,1867,508,2.70851479201081,1.33225051719513,6659,
"q57",1576,931,1574,1576,469,2.74387855044074,1.29584235912266,6126,
"q58",2051,1297,1274,1414,448,2.52359654534238,1.31645512636474,6484,
"q59",1838,1162,1373,1602,498,2.65394716514754,1.32327514722185,6473,
"q6",937,922,992,2689,1416,3.39174813110983,1.31109770346329,6956,
"q60",1302,815,1512,1674,1125,3.07856253889235,1.37535521914064,6428,
"q61",2208,1213,1348,1237,644,2.53323308270677,1.36613288842656,6650,0.0398419191370931
"q62",1563,918,1613,1313,589,2.74099399599733,1.31943600530962,5996,
"q63",1448,1769,1408,1555,533,2.69551616266945,1.25820519366705,6713,
"q64",1834,1890,1282,1288,416,2.4876304023845,1.24603848771336,6710,0.0365616430027817
"q65",1598,1414,1490,1645,556,2.7235566164404,1.29057543802949,6703,
"q66",2253,1676,1451,978,332,2.32137518684604,1.21737086773627,6690,0.171909756316357
"q67",2386,1552,1496,913,358,2.29977628635347,1.23066488037839,6705,0.0473381982655406
"q68",1512,1539,1528,1678,434,2.69855029143626,1.24639845506694,6691,
"q69",1319,1293,1276,2027,778,2.94800537875392,1.32168372120833,6693,0.239769708324149
"q7",268,119,268,2034,4300,4.42781513807412,0.940170180398643,6989,
"q70",1187,975,913,2465,1159,3.2140618002687,1.36703038663946,6699,0.0109579313386173
"q71",2090,1611,1139,1406,457,2.48217216171863,1.30465385870595,6703,
"q8",287,196,757,2648,3089,4.15465099613014,1.00501406198624,6977,
"q9",2209,1778,897,1665,403,2.4641829689298,1.3081575974274,6952,0.00101302745071732
